Format Version,1.23,Take Name,ar_s5_t1,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2022-07-22 12.48.09.749 PM,Total Frames in Take,3565,Total Exported Frames,3565,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,cart:org,cart:org,cart:org,cart:xvec,cart:xvec,cart:xvec,cart:zvec,cart:zvec,cart:zvec
,ID,"CFD431D7098F11ED20C8B848E857B3","CFD431D7098F11ED20C8B848E857B3","CFD431D7098F11ED20C8B848E857B3","CFD431D6098F11ED20C8B848E857B3","CFD431D6098F11ED20C8B848E857B3","CFD431D6098F11ED20C8B848E857B3","CFD431D5098F11ED20C8B848E857B3","CFD431D5098F11ED20C8B848E857B3","CFD431D5098F11ED20C8B848E857B3"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
78,0.780000,-0.034592,0.149421,-0.003248,0.096532,0.150269,-0.015766,-0.013609,0.150115,0.075102
79,0.790000,-0.034592,0.149412,-0.003260,0.096516,0.150276,-0.015761,-0.013604,0.150120,0.075087
80,0.800000,-0.034592,0.149412,-0.003231,0.096528,0.150283,-0.015772,-0.013617,0.150083,0.075092
81,0.810000,-0.034572,0.149432,-0.003257,0.096516,0.150277,-0.015760,-0.013598,0.150125,0.075088
82,0.820000,-0.034579,0.149431,-0.003251,0.096524,0.150285,-0.015770,-0.013628,0.150088,0.075082
83,0.830000,-0.034574,0.149450,-0.003243,0.096505,0.150250,-0.015771,-0.013603,0.150109,0.075084
84,0.840000,-0.034585,0.149424,-0.003249,0.096537,0.150288,-0.015771,-0.013600,0.150140,0.075096
85,0.850000,-0.034572,0.149453,-0.003241,0.096529,0.150313,-0.015775,-0.013620,0.150122,0.075079
86,0.860000,-0.034578,0.149419,-0.003262,0.096522,0.150266,-0.015770,-0.013612,0.150094,0.075091
87,0.870000,-0.034582,0.149423,-0.003258,0.096524,0.150267,-0.015768,-0.013623,0.150093,0.075097
88,0.880000,-0.034570,0.149456,-0.003237,0.096533,0.150270,-0.015766,-0.013605,0.150103,0.075098
89,0.890000,-0.034595,0.149436,-0.003229,0.096525,0.150271,-0.015772,-0.013607,0.150130,0.075071
90,0.900000,-0.034563,0.149460,-0.003239,0.096524,0.150264,-0.015777,-0.013607,0.150136,0.075056
91,0.910000,-0.034569,0.149450,-0.003248,0.096523,0.150276,-0.015764,-0.013607,0.150140,0.075076
92,0.920000,-0.034591,0.149416,-0.003257,0.096523,0.150271,-0.015775,-0.013613,0.150100,0.075090
93,0.930000,-0.034598,0.149404,-0.003263,0.096510,0.150253,-0.015771,-0.013610,0.150115,0.075076
94,0.940000,-0.034572,0.149463,-0.003251,0.096527,0.150274,-0.015760,-0.013589,0.150132,0.075098
95,0.950000,-0.034594,0.149416,-0.003248,0.096521,0.150270,-0.015770,-0.013604,0.150134,0.075089
96,0.960000,-0.034592,0.149412,-0.003253,0.096521,0.150284,-0.015771,-0.013625,0.150101,0.075078
97,0.970000,-0.034574,0.149428,-0.003242,0.096513,0.150258,-0.015764,-0.013611,0.150134,0.075061
98,0.980000,-0.034587,0.149415,-0.003252,0.096527,0.150265,-0.015775,-0.013617,0.150088,0.075106
99,0.990000,-0.034587,0.149420,-0.003246,0.096509,0.150269,-0.015760,-0.013617,0.150090,0.075083
100,1.000000,-0.034588,0.149409,-0.003251,0.096509,0.150262,-0.015765,-0.013610,0.150141,0.075065
101,1.010000,-0.034553,0.149465,-0.003238,0.096525,0.150281,-0.015769,-0.013612,0.150101,0.075108
102,1.020000,-0.034591,0.149413,-0.003252,0.096509,0.150278,-0.015764,-0.013603,0.150118,0.075090
103,1.030000,-0.034590,0.149419,-0.003248,0.096521,0.150263,-0.015775,-0.013611,0.150150,0.075068
104,1.040000,-0.034589,0.149415,-0.003244,0.096522,0.150275,-0.015768,-0.013596,0.150136,0.075085
105,1.050000,-0.034592,0.149407,-0.003252,0.096528,0.150286,-0.015766,-0.013598,0.150138,0.075090
106,1.060000,-0.034607,0.149404,-0.003260,0.096513,0.150259,-0.015765,-0.013603,0.150118,0.075069
107,1.070000,-0.034598,0.149407,-0.003251,0.096516,0.150268,-0.015764,-0.013619,0.150088,0.075090
108,1.080000,-0.034590,0.149411,-0.003255,0.096519,0.150257,-0.015754,-0.013601,0.150132,0.075092
109,1.090000,-0.034588,0.149402,-0.003250,0.096516,0.150270,-0.015760,-0.013605,0.150114,0.075075
110,1.100000,-0.034609,0.149398,-0.003260,0.096501,0.150245,-0.015758,-0.013630,0.150117,0.075067
111,1.110000,-0.034582,0.149430,-0.003245,0.096518,0.150279,-0.015763,-0.013603,0.150120,0.075087
112,1.120000,-0.034592,0.149413,-0.003253,0.096509,0.150256,-0.015765,-0.013608,0.150084,0.075085
113,1.130000,-0.034594,0.149422,-0.003232,0.096514,0.150259,-0.015757,-0.013626,0.150078,0.075092
114,1.140000,-0.034576,0.149426,-0.003243,0.096522,0.150280,-0.015759,-0.013596,0.150128,0.075098
115,1.150000,-0.034569,0.149436,-0.003238,0.096524,0.150283,-0.015759,-0.013610,0.150116,0.075097
116,1.160000,-0.034584,0.149424,-0.003253,0.096509,0.150263,-0.015764,-0.013604,0.150113,0.075075
117,1.170000,-0.034601,0.149410,-0.003257,0.096511,0.150265,-0.015767,-0.013606,0.150137,0.075087
118,1.180000,-0.034565,0.149450,-0.003244,0.096524,0.150283,-0.015765,-0.013606,0.150116,0.075103
