Format Version,1.23,Take Name,ar_s9_t6,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2022-07-29 12.21.40.566 PM,Total Frames in Take,4212,Total Exported Frames,4212,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,ar_marker:bot_left,ar_marker:bot_left,ar_marker:bot_left,ar_marker:bot_right,ar_marker:bot_right,ar_marker:bot_right,ar_marker:top_left,ar_marker:top_left,ar_marker:top_left,ar_marker:top_right,ar_marker:top_right,ar_marker:top_right
,ID,"33A3CEE60F0B11ED20C8B848E859B3","33A3CEE60F0B11ED20C8B848E859B3","33A3CEE60F0B11ED20C8B848E859B3","33A3CEE50F0B11ED20C8B848E859B3","33A3CEE50F0B11ED20C8B848E859B3","33A3CEE50F0B11ED20C8B848E859B3","33A3CEE40F0B11ED20C8B848E859B3","33A3CEE40F0B11ED20C8B848E859B3","33A3CEE40F0B11ED20C8B848E859B3","33A3CEE30F0B11ED20C8B848E859B3","33A3CEE30F0B11ED20C8B848E859B3","33A3CEE30F0B11ED20C8B848E859B3"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
55,0.550000,0.372780,0.172355,0.040546,0.299025,0.173781,0.029433,0.375911,0.248895,0.043970,0.302084,0.253344,0.031103
56,0.560000,0.372789,0.172372,0.040551,0.299024,0.173785,0.029435,0.375901,0.248906,0.043982,0.302080,0.253342,0.031098
57,0.570000,0.372771,0.172330,0.040541,0.299043,0.173788,0.029435,0.375908,0.248893,0.043984,0.302081,0.253353,0.031108
58,0.580000,0.372787,0.172353,0.040537,0.299031,0.173782,0.029435,0.375907,0.248877,0.043960,0.302086,0.253346,0.031101
59,0.590000,0.372795,0.172353,0.040561,0.299034,0.173793,0.029439,0.375911,0.248903,0.043988,0.302089,0.253357,0.031110
60,0.600000,0.372802,0.172329,0.040550,0.299028,0.173788,0.029437,0.375921,0.248921,0.043984,0.302084,0.253348,0.031113
61,0.610000,0.372794,0.172364,0.040545,0.299026,0.173794,0.029433,0.375911,0.248899,0.043970,0.302086,0.253348,0.031112
62,0.620000,0.372797,0.172339,0.040542,0.299040,0.173794,0.029445,0.375912,0.248891,0.043972,0.302090,0.253358,0.031110
63,0.630000,0.372784,0.172339,0.040553,0.299029,0.173767,0.029433,0.375909,0.248911,0.043986,0.302080,0.253364,0.031110
64,0.640000,0.372787,0.172329,0.040542,0.299015,0.173768,0.029431,0.375908,0.248912,0.043985,0.302083,0.253350,0.031097
