Format Version,1.23,Take Name,cart_random_sync,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2022-06-22 12.22.57.287 PM,Total Frames in Take,2488,Total Exported Frames,2488,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,mecanum:org,mecanum:org,mecanum:org,mecanum:xdir,mecanum:xdir,mecanum:xdir,mecanum:zdir,mecanum:zdir,mecanum:zdir
,ID,"8A1E0D81F1F811EC20C8B848E84FB3","8A1E0D81F1F811EC20C8B848E84FB3","8A1E0D81F1F811EC20C8B848E84FB3","8A1E0D83F1F811EC20C8B848E84FB3","8A1E0D83F1F811EC20C8B848E84FB3","8A1E0D83F1F811EC20C8B848E84FB3","8A1E0D85F1F811EC20C8B848E84FB3","8A1E0D85F1F811EC20C8B848E84FB3","8A1E0D85F1F811EC20C8B848E84FB3"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
137,1.370000,0.186453,0.066542,0.243844,0.227557,0.065024,0.251852,0.169575,0.066378,0.345261
138,1.380000,0.186446,0.066540,0.243832,0.227561,0.065012,0.251848,0.169543,0.066380,0.345248
139,1.390000,0.186465,0.066545,0.243836,0.227574,0.065014,0.251840,0.169543,0.066391,0.345255
140,1.400000,0.186477,0.066544,0.243835,0.227559,0.064987,0.251839,0.169543,0.066371,0.345250
141,1.410000,0.186412,0.066488,0.243789,0.227561,0.065014,0.251855,0.169542,0.066390,0.345245
142,1.420000,0.186459,0.066544,0.243847,0.227571,0.064996,0.251843,0.169552,0.066382,0.345245
143,1.430000,0.186400,0.066466,0.243776,0.227561,0.065019,0.251844,0.169563,0.066386,0.345250
144,1.440000,0.186418,0.066443,0.243752,0.227558,0.065013,0.251845,0.169549,0.066376,0.345241
145,1.450000,0.186407,0.066460,0.243780,0.227565,0.065027,0.251819,0.169550,0.066379,0.345248
146,1.460000,0.186464,0.066577,0.243864,0.227563,0.065010,0.251842,0.169555,0.066391,0.345250
147,1.470000,0.186458,0.066570,0.243846,0.227575,0.065024,0.251820,0.169542,0.066371,0.345252
148,1.480000,0.186463,0.066558,0.243836,0.227564,0.065004,0.251846,0.169562,0.066391,0.345257
149,1.490000,0.186396,0.066458,0.243771,0.227569,0.065014,0.251850,0.169542,0.066363,0.345252
150,1.500000,0.186400,0.066486,0.243793,0.227560,0.065015,0.251848,0.169547,0.066384,0.345252
151,1.510000,0.186467,0.066561,0.243840,0.227560,0.065017,0.251848,0.169550,0.066376,0.345249
152,1.520000,0.186464,0.066557,0.243843,0.227560,0.065020,0.251844,0.169553,0.066386,0.345252
153,1.530000,0.186458,0.066553,0.243854,0.227565,0.065017,0.251815,0.169549,0.066379,0.345247
154,1.540000,0.186468,0.066547,0.243863,0.227572,0.064996,0.251845,0.169538,0.066379,0.345251
155,1.550000,0.186401,0.066479,0.243790,0.227564,0.065001,0.251835,0.169546,0.066376,0.345246
156,1.560000,0.186473,0.066556,0.243829,0.227555,0.065024,0.251850,0.169543,0.066380,0.345249
157,1.570000,0.186405,0.066468,0.243790,0.227568,0.065018,0.251846,0.169543,0.066383,0.345250
158,1.580000,0.186456,0.066550,0.243842,0.227562,0.065027,0.251821,0.169552,0.066383,0.345245
159,1.590000,0.186456,0.066557,0.243836,0.227571,0.065012,0.251844,0.169544,0.066396,0.345249
160,1.600000,0.186404,0.066446,0.243765,0.227560,0.065015,0.251848,0.169545,0.066373,0.345244
161,1.610000,0.186477,0.066530,0.243834,0.227565,0.065028,0.251823,0.169556,0.066381,0.345251
162,1.620000,0.186416,0.066458,0.243780,0.227565,0.065010,0.251844,0.169553,0.066383,0.345250
163,1.630000,0.186462,0.066556,0.243842,0.227570,0.065012,0.251841,0.169540,0.066378,0.345249
164,1.640000,0.186458,0.066560,0.243839,0.227570,0.065030,0.251815,0.169551,0.066381,0.345246
