Format Version,1.23,Take Name,linear_forward,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2022-06-14 03.03.52.098 PM,Total Frames in Take,2575,Total Exported Frames,2575,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,mecanum:center,mecanum:center,mecanum:center,mecanum:org,mecanum:org,mecanum:org,mecanum:xdir,mecanum:xdir,mecanum:xdir,mecanum:zdir,mecanum:zdir,mecanum:zdir
,ID,"5EB60F68EBC511ECBCE17DD2D9C84CB3","5EB60F68EBC511ECBCE17DD2D9C84CB3","5EB60F68EBC511ECBCE17DD2D9C84CB3","64B2A3DAEBC511ECBCE17DD2D9C84CB3","64B2A3DAEBC511ECBCE17DD2D9C84CB3","64B2A3DAEBC511ECBCE17DD2D9C84CB3","64B2A3DCEBC511ECBCE17DD2D9C84CB3","64B2A3DCEBC511ECBCE17DD2D9C84CB3","64B2A3DCEBC511ECBCE17DD2D9C84CB3","64B2A3DEEBC511ECBCE17DD2D9C84CB3","64B2A3DEEBC511ECBCE17DD2D9C84CB3","64B2A3DEEBC511ECBCE17DD2D9C84CB3"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
91,0.910000,0.045851,0.068809,-0.081544,0.003875,0.069167,-0.146115,0.083274,0.066828,-0.146652,0.005681,0.069252,-0.018588
92,0.920000,0.045866,0.068797,-0.081548,0.003882,0.069167,-0.146113,0.083281,0.066828,-0.146651,0.005685,0.069245,-0.018587
93,0.930000,0.045846,0.068815,-0.081543,0.003871,0.069172,-0.146127,0.083283,0.066835,-0.146651,0.005681,0.069260,-0.018581
94,0.940000,0.045855,0.068827,-0.081539,0.003880,0.069187,-0.146113,0.083282,0.066831,-0.146645,0.005677,0.069267,-0.018589
95,0.950000,0.045848,0.068815,-0.081543,0.003877,0.069158,-0.146112,0.083280,0.066839,-0.146644,0.005678,0.069249,-0.018588
96,0.960000,0.045859,0.068816,-0.081541,0.003892,0.069171,-0.146121,0.083278,0.066832,-0.146648,0.005689,0.069270,-0.018587
97,0.970000,0.045854,0.068816,-0.081541,0.003882,0.069186,-0.146115,0.083278,0.066832,-0.146645,0.005682,0.069244,-0.018584
98,0.980000,0.045854,0.068829,-0.081539,0.003856,0.069148,-0.146158,0.083258,0.066823,-0.146639,0.005686,0.069250,-0.018586
99,0.990000,0.045850,0.068823,-0.081541,0.003872,0.069184,-0.146124,0.083279,0.066820,-0.146646,0.005678,0.069260,-0.018591
100,1.000000,0.045852,0.068831,-0.081538,0.003880,0.069177,-0.146124,0.083263,0.066824,-0.146634,0.005681,0.069257,-0.018585
101,1.010000,0.045853,0.068811,-0.081543,0.003875,0.069181,-0.146110,0.083270,0.066823,-0.146644,0.005666,0.069251,-0.018590
102,1.020000,0.045843,0.068808,-0.081545,0.003870,0.069174,-0.146124,0.083269,0.066835,-0.146645,0.005672,0.069258,-0.018582
103,1.030000,0.045846,0.068822,-0.081540,0.003873,0.069175,-0.146113,0.083260,0.066831,-0.146638,0.005680,0.069263,-0.018584
104,1.040000,0.045853,0.068821,-0.081540,0.003887,0.069203,-0.146115,0.083275,0.066820,-0.146645,0.005684,0.069264,-0.018585
105,1.050000,0.045853,0.068811,-0.081548,0.003888,0.069171,-0.146114,0.083275,0.066829,-0.146638,0.005679,0.069255,-0.018587
106,1.060000,0.045871,0.068824,-0.081544,0.003884,0.069187,-0.146111,0.083276,0.066833,-0.146643,0.005676,0.069242,-0.018590
107,1.070000,0.045863,0.068831,-0.081541,0.003889,0.069189,-0.146124,0.083277,0.066833,-0.146638,0.005681,0.069268,-0.018586
108,1.080000,0.045864,0.068824,-0.081542,0.003892,0.069190,-0.146112,0.083283,0.066830,-0.146638,0.005684,0.069262,-0.018576
109,1.090000,0.045853,0.068816,-0.081548,0.003889,0.069182,-0.146124,0.083269,0.066827,-0.146639,0.005679,0.069251,-0.018585
110,1.100000,0.045849,0.068809,-0.081551,0.003856,0.069153,-0.146157,0.083266,0.066838,-0.146645,0.005681,0.069257,-0.018594
111,1.110000,0.045849,0.068812,-0.081552,0.003879,0.069184,-0.146124,0.083273,0.066830,-0.146638,0.005677,0.069253,-0.018588
112,1.120000,0.045852,0.068807,-0.081546,0.003872,0.069172,-0.146122,0.083285,0.066838,-0.146649,0.005674,0.069261,-0.018589
113,1.130000,0.045859,0.068800,-0.081542,0.003877,0.069189,-0.146118,0.083272,0.066819,-0.146639,0.005685,0.069251,-0.018583
114,1.140000,0.045851,0.068822,-0.081550,0.003878,0.069181,-0.146122,0.083262,0.066826,-0.146645,0.005673,0.069248,-0.018587
115,1.150000,0.045847,0.068804,-0.081546,0.003872,0.069168,-0.146121,0.083277,0.066832,-0.146646,0.005683,0.069249,-0.018591
116,1.160000,0.045849,0.068806,-0.081543,0.003878,0.069189,-0.146112,0.083278,0.066826,-0.146644,0.005679,0.069261,-0.018592
117,1.170000,0.045854,0.068814,-0.081540,0.003885,0.069178,-0.146116,0.083283,0.066831,-0.146653,0.005683,0.069259,-0.018590
118,1.180000,0.045848,0.068818,-0.081545,0.003883,0.069191,-0.146113,0.083279,0.066818,-0.146657,0.005684,0.069271,-0.018587
119,1.190000,0.045854,0.068815,-0.081550,0.003878,0.069194,-0.146115,0.083277,0.066834,-0.146648,0.005681,0.069258,-0.018587
120,1.200000,0.045851,0.068829,-0.081544,0.003873,0.069185,-0.146111,0.083277,0.066841,-0.146655,0.005673,0.069265,-0.018581
121,1.210000,0.045854,0.068809,-0.081545,0.003868,0.069151,-0.146158,0.083280,0.066835,-0.146655,0.005681,0.069259,-0.018595
122,1.220000,0.045858,0.068825,-0.081550,0.003856,0.069136,-0.146159,0.083278,0.066836,-0.146650,0.005681,0.069260,-0.018596
