sys_time,e_fr,e_fl,e_rr,e_rl,rtc,mils,sync
2022-06-23 09:53:17.252365,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83524,0
2022-06-23 09:53:17.252865,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83534,0
2022-06-23 09:53:17.253361,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83544,0
2022-06-23 09:53:17.298859,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83554,0
2022-06-23 09:53:17.299360,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83564,0
2022-06-23 09:53:17.299860,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83574,0
2022-06-23 09:53:17.300373,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83584,0
2022-06-23 09:53:17.300877,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83594,0
2022-06-23 09:53:17.302376,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83604,0
2022-06-23 09:53:17.302861,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83614,0
2022-06-23 09:53:17.369361,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83624,0
2022-06-23 09:53:17.370361,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83634,0
2022-06-23 09:53:17.379361,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83644,0
2022-06-23 09:53:17.380361,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83654,0
2022-06-23 09:53:17.381361,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83664,0
2022-06-23 09:53:17.382361,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83674,0
2022-06-23 09:53:17.383860,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83684,0
2022-06-23 09:53:17.437361,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83694,0
2022-06-23 09:53:17.437861,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83705,0
2022-06-23 09:53:17.438861,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83715,0
2022-06-23 09:53:17.439363,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83725,0
2022-06-23 09:53:17.439863,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83735,0
2022-06-23 09:53:17.440361,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83745,0
2022-06-23 09:53:17.440861,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83755,0
2022-06-23 09:53:17.505360,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83765,0
2022-06-23 09:53:17.505860,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83775,0
2022-06-23 09:53:17.505860,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83785,0
2022-06-23 09:53:17.506362,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83795,0
2022-06-23 09:53:17.506861,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83805,0
2022-06-23 09:53:17.507361,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83815,0
2022-06-23 09:53:17.507361,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83825,0
2022-06-23 09:53:17.574360,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83835,0
2022-06-23 09:53:17.574860,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83845,0
2022-06-23 09:53:17.575361,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83855,0
2022-06-23 09:53:17.575862,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83865,0
2022-06-23 09:53:17.576361,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83875,0
2022-06-23 09:53:17.576361,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83885,0
2022-06-23 09:53:17.577360,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83895,0
2022-06-23 09:53:17.644861,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83905,0
2022-06-23 09:53:17.645360,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83915,0
2022-06-23 09:53:17.645861,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83925,0
2022-06-23 09:53:17.645861,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83935,0
